"","Country","X2020","X2021","X2022","RANK","Happiness.score","Whisker.high","Whisker.low","Dystopia..1.83....residual","Explained.by..GDP.per.capita","Explained.by..Social.support","Explained.by..Healthy.life.expectancy","Explained.by..Freedom.to.make.life.choices","Explained.by..Generosity","Explained.by..Perceptions.of.corruption","Ranked_Country","happy_index"
"66","Luxembourg","78.827","83.771","89.683",6,7.404,7.501,7.307,2.042,2.209,1.155,0.79,0.7,0.12,0.388,"Bolivia",5.6
"67","Madagascar","11.89","14.101","15.402",128,4.339,4.53,4.148,2.148,0.67,0.645,0.378,0.202,0.143,0.154,"China",5.585
"68","Malawi","7.912","12.15","12.008",138,3.75,3.941,3.56,1.661,0.648,0.279,0.388,0.477,0.14,0.157,"Paraguay",5.578
"69","Malaysia","544.418","371.114","415.375",70,5.711,5.845,5.578,1.471,1.689,0.938,0.62,0.654,0.213,0.126,"Peru",5.559
"70","Mali","16.13","19.563","21.261",123,4.479,4.611,4.347,2.373,0.792,0.483,0.311,0.35,0.128,0.042,"Ecuador",5.533
"71","Malta","12.432","16.695","18.209",33,6.447,6.535,6.359,1.631,1.838,1.169,0.789,0.679,0.174,0.166,"Vietnam",5.485
"72","Mauritania","6.291","9.164","9.336",133,4.153,4.356,3.95,1.207,1.1,0.865,0.45,0.304,0.088,0.138,"Turkmenistan",5.474
"73","Mauritius","15.51","10.998","11.954",52,6.071,6.184,5.958,1.969,1.591,1.116,0.568,0.589,0.131,0.107,"Russia",5.459
"74","Mexico","1,495.66","1,285.52","1,371.64",46,6.128,6.238,6.017,2.239,1.552,0.886,0.623,0.621,0.092,0.115,"Armenia",5.399
"75","Moldova","8.998","12.396","13.315",62,5.857,5.948,5.766,2.142,1.417,1.008,0.597,0.561,0.102,0.028,"Nepal",5.377
"76","Mongolia","17.871","14.28","15.83",68,5.761,5.845,5.676,1.999,1.393,1.197,0.467,0.398,0.247,0.059,"Tajikistan",5.377
"77","Morocco","146.854","126.035","132.645",100,5.06,5.181,4.938,2.405,1.208,0.268,0.565,0.492,0.02,0.102,"Bulgaria",5.371
"78","Mozambique","32.223","15.833","16.759",101,5.048,5.273,4.823,2.641,0.578,0.66,0.191,0.593,0.185,0.2,"Libya",5.33
"79","Myanmar","106.221","66.74","63.052",126,4.394,4.511,4.277,0.877,1.038,0.829,0.491,0.513,0.452,0.194,"Indonesia",5.24
"80","Namibia","18.661","12.213","13.122",124,4.459,4.593,4.326,1.414,1.292,0.877,0.354,0.384,0.067,0.071,"Albania",5.199
"81","Nepal","32.1","34.265","36.296",84,5.377,5.502,5.251,2.224,0.984,0.784,0.499,0.519,0.237,0.13,"South Africa",5.194
"82","Netherlands","940.749","1,007.56","1,070.75",5,7.415,7.471,7.359,2.137,1.945,1.206,0.787,0.651,0.271,0.419,"Azerbaijan",5.173
"83","New Zealand","194.677","247.64","267.636",10,7.2,7.279,7.12,1.954,1.852,1.235,0.752,0.68,0.245,0.483,"Bangladesh",5.155
"84","Nicaragua","16.513","13.397","13.948",45,6.165,6.312,6.017,2.418,1.105,1.029,0.617,0.617,0.168,0.212,"Algeria",5.122
"85","Niger","11.4","15.637","17.261",104,5.003,5.247,4.76,2.667,0.57,0.56,0.326,0.571,0.165,0.145,"Liberia",5.122
